Date : 2024-06-20 15:20:21
Directory : e:\MyProjects\IMeetE\UIPrototype\codes
Total : 118 files,  6414 codes, 1034 comments, 918 blanks, all 8366 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| e:\MyProjects\IMeetE\UIPrototype\codes\pages\register\register.wxml                  | WXML       |         16 |          1 |          2 |         19 |
| e:\MyProjects\IMeetE\UIPrototype\codes\pages\register\register.wxss                  | CSS        |         45 |          1 |          4 |         50 |
| e:\MyProjects\IMeetE\UIPrototype\codes\pages\square\search-post\search-post.js       | JavaScript |         37 |         44 |         17 |         98 |
| e:\MyProjects\IMeetE\UIPrototype\codes\pages\square\search-post\search-post.json     | JSON       |          6 |          0 |          0 |          6 |
| e:\MyProjects\IMeetE\UIPrototype\codes\pages\square\search-post\search-post.wxml     | WXML       |          7 |          1 |          5 |         13 |
| e:\MyProjects\IMeetE\UIPrototype\codes\pages\square\search-post\search-post.wxss     | CSS        |          0 |          0 |          1 |          1 |
| e:\MyProjects\IMeetE\UIPrototype\codes\pages\square\search\search.js                 | JavaScript |         35 |         28 |         19 |         82 |
| e:\MyProjects\IMeetE\UIPrototype\codes\pages\square\search\search.json               | JSON       |          5 |          0 |          0 |          5 |
| e:\MyProjects\IMeetE\UIPrototype\codes\pages\square\search\search.wxml               | WXML       |         19 |          0 |          3 |         22 |
| e:\MyProjects\IMeetE\UIPrototype\codes\pages\square\search\search.wxss               | CSS        |         58 |          0 |          7 |         65 |
| e:\MyProjects\IMeetE\UIPrototype\codes\pages\square\square.js                        | JavaScript |        174 |         40 |         19 |        233 |
| e:\MyProjects\IMeetE\UIPrototype\codes\pages\square\square.json                      | JSON       |          5 |          0 |          0 |          5 |
| e:\MyProjects\IMeetE\UIPrototype\codes\pages\square\square.wxml                      | WXML       |         82 |          3 |          0 |         85 |
| e:\MyProjects\IMeetE\UIPrototype\codes\pages\square\square.wxss                      | CSS        |        188 |          0 |         31 |        219 |
| e:\MyProjects\IMeetE\UIPrototype\codes\pages\square\tool.js                          | JavaScript |         27 |          6 |          5 |         38 |
| e:\MyProjects\IMeetE\UIPrototype\codes\project.config.json                           | JSON       |         29 |          0 |          0 |         29 |
| e:\MyProjects\IMeetE\UIPrototype\codes\project.private.config.json                   | JSON       |          8 |          0 |          0 |          8 |
| e:\MyProjects\IMeetE\UIPrototype\codes\sitemap.json                                  | JSON       |          7 |          0 |          0 |          7 |
| e:\MyProjects\IMeetE\UIPrototype\codes\utils\config.js                               | JavaScript |         11 |          0 |          0 |         11 |
| e:\MyProjects\IMeetE\UIPrototype\codes\utils\toast.js                                | JavaScript |         46 |          0 |          3 |         49 |
| e:\MyProjects\IMeetE\UIPrototype\codes\utils\util.js                                 | JavaScript |         16 |          1 |          4 |         21 |
| Total                                                                                |            |      6,414 |      1,034 |        918 |      8,366 |
+--------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
